Water age,Layer,NbS,SLR
32.16,1,ErA,0.0
33.06,2,ErA,0.0
34.56,3,ErA,0.0
35.95,4,ErA,0.0
37.25,5,ErA,0.0
38.44,6,ErA,0.0
39.52,7,ErA,0.0
40.51,8,ErA,0.0
41.45,9,ErA,0.0
42.37,10,ErA,0.0
43.26,11,ErA,0.0
44.13,12,ErA,0.0
44.97,13,ErA,0.0
45.86,14,ErA,0.0
46.84,15,ErA,0.0
47.89,16,ErA,0.0
48.7,17,ErA,0.0
49.18,18,ErA,0.0
49.43,19,ErA,0.0
49.49,20,ErA,0.0
35.3,1,IrA,0.0
36.51,2,IrA,0.0
38.84,3,IrA,0.0
41.19,4,IrA,0.0
43.53,5,IrA,0.0
45.68,6,IrA,0.0
47.58,7,IrA,0.0
49.26,8,IrA,0.0
50.75,9,IrA,0.0
52.12,10,IrA,0.0
53.42,11,IrA,0.0
54.69,12,IrA,0.0
56,13,IrA,0.0
57.31,14,IrA,0.0
58.56,15,IrA,0.0
59.6,16,IrA,0.0
60.36,17,IrA,0.0
60.82,18,IrA,0.0
61.07,19,IrA,0.0
61.22,20,IrA,0.0
31.62,1,ErA,0.3
32.52,2,ErA,0.3
34.03,3,ErA,0.3
35.47,4,ErA,0.3
36.85,5,ErA,0.3
38.11,6,ErA,0.3
39.25,7,ErA,0.3
40.3,8,ErA,0.3
41.29,9,ErA,0.3
42.25,10,ErA,0.3
43.2,11,ErA,0.3
44.12,12,ErA,0.3
45.02,13,ErA,0.3
45.93,14,ErA,0.3
46.96,15,ErA,0.3
48.03,16,ErA,0.3
48.84,17,ErA,0.3
49.31,18,ErA,0.3
49.53,19,ErA,0.3
49.6,20,ErA,0.3
35.34,1,IrA,0.3
36.62,2,IrA,0.3
39.01,3,IrA,0.3
41.43,4,IrA,0.3
43.81,5,IrA,0.3
46,6,IrA,0.3
47.95,7,IrA,0.3
49.68,8,IrA,0.3
51.24,9,IrA,0.3
52.67,10,IrA,0.3
54.02,11,IrA,0.3
55.35,12,IrA,0.3
56.69,13,IrA,0.3
58.03,14,IrA,0.3
59.29,15,IrA,0.3
60.36,16,IrA,0.3
61.14,17,IrA,0.3
61.64,18,IrA,0.3
61.9,19,IrA,0.3
62,20,IrA,0.3
31.3,1,ErA,1.0
32.29,2,ErA,1.0
33.88,3,ErA,1.0
35.42,4,ErA,1.0
36.87,5,ErA,1.0
38.19,6,ErA,1.0
39.39,7,ErA,1.0
40.49,8,ErA,1.0
41.54,9,ErA,1.0
42.56,10,ErA,1.0
43.56,11,ErA,1.0
44.55,12,ErA,1.0
45.51,13,ErA,1.0
46.48,14,ErA,1.0
47.56,15,ErA,1.0
48.75,16,ErA,1.0
49.73,17,ErA,1.0
50.28,18,ErA,1.0
50.6,19,ErA,1.0
50.68,20,ErA,1.0
35.7,1,IrA,1.0
37.09,2,IrA,1.0
39.68,3,IrA,1.0
42.29,4,IrA,1.0
44.89,5,IrA,1.0
47.3,6,IrA,1.0
49.43,7,IrA,1.0
51.29,8,IrA,1.0
52.94,9,IrA,1.0
54.44,10,IrA,1.0
55.84,11,IrA,1.0
57.2,12,IrA,1.0
58.58,13,IrA,1.0
59.98,14,IrA,1.0
61.34,15,IrA,1.0
62.53,16,IrA,1.0
63.42,17,IrA,1.0
64,18,IrA,1.0
64.31,19,IrA,1.0
64.42,20,IrA,1.0
30.64,1,ErA,2.0
31.64,2,ErA,2.0
33.35,3,ErA,2.0
34.97,4,ErA,2.0
36.52,5,ErA,2.0
37.92,6,ErA,2.0
39.19,7,ErA,2.0
40.35,8,ErA,2.0
41.43,9,ErA,2.0
42.47,10,ErA,2.0
43.49,11,ErA,2.0
44.49,12,ErA,2.0
45.44,13,ErA,2.0
46.38,14,ErA,2.0
47.41,15,ErA,2.0
48.61,16,ErA,2.0
49.64,17,ErA,2.0
50.28,18,ErA,2.0
50.59,19,ErA,2.0
50.67,20,ErA,2.0
34.96,1,IrA,2.0
36.46,2,IrA,2.0
39.25,3,IrA,2.0
42.08,4,IrA,2.0
44.91,5,IrA,2.0
47.52,6,IrA,2.0
49.83,7,IrA,2.0
51.83,8,IrA,2.0
53.59,9,IrA,2.0
55.16,10,IrA,2.0
56.58,11,IrA,2.0
57.93,12,IrA,2.0
59.24,13,IrA,2.0
60.57,14,IrA,2.0
61.89,15,IrA,2.0
63.08,16,IrA,2.0
64.03,17,IrA,2.0
64.63,18,IrA,2.0
64.97,19,IrA,2.0
65.08,20,IrA,2.0
